Codigo do Produto	Nome do Produto	Embalagem do produto	Categoria do Produto	Status do Produto
72755	MENU MAES SALMAO ALHO PORO ARROZ BRANC PUDIM	Un	1	Ativo
72756	MENU MAES SALMAO ALHO PORO ARROZ CAMAR PUDIM	Un	1	Ativo
72757	MENU MAES SALMAO ALHO PORO ARROZ BRANC TORT HOL	Un	1	Ativo
72758	MENU MAES SALMAO ALHO PORO ARROZ CAMAR TORT HOL	Un	1	Ativo
72759	MENU MAES SALMAO ALHO PORO ARROZ BAC PUDIM	Un	1	Ativo
72760	MENU MAES SALMAO ALHO PORO ARROZ BAC TORT HOL	Un	1	Ativo
72761	MENU PASCOA MORANG BOBO CAMAR ARROZ CAM PUDIM	Un	1	Inativo
72762	MENU PASCOA MORANG BOBO CAMAR ARROZ CAM TORT HOLAN	Un	1	Inativo
72763	MENU PASCOA MORANG BOBO CAMAR ARROZ BAC PUDIM	Un	1	Inativo
72764	MENU PASCOA MORANG BOBO CAMAR ARROZ BAC TORT HOL	Un	1	Inativo
72765	MENU PASCOA MORANG BOBO CAMAR ARROZ BRANC PUDIM	Un	1	Inativo
72766	MENU PASCOA MORANG BOBO CAMAR ARROZ BRANC TORT HOL	Un	1	Inativo
72767	MENU PASCOA PAELLA FRUTOS DO MAR PUDIM	Un	1	Inativo
72768	MENU PASCOA PAELLA FRUTOS DO MAR TORTA HOLANDESA	Un	1	Inativo
72769	MENU MAES FILE MIGNON MOL MAD ARR BRANC PUDIM	Un	1	Inativo
72770	MENU MAES FILE MIGNON MOL MAD ARR BRANC TORT HOL	Un	1	Ativo
72771	MENU MAES FILE MIGNON MOL MAD ARR AMEND BOLO TRUF	Un	1	Ativo
72772	MENU MAES FILE MIGNON MOL MAD ARR AMEND PUDIM	Un	1	Ativo
72773	MENU MAES FILE MIGNON MOL MAD ARR AMEND TORT HOL	Un	1	Ativo
72774	MENU MAES FILE MIGNON MOL MAD ARR GREGA BOLO TRUF	Un	1	Ativo
72775	MENU MAES FILE MIGNON MOL MAD ARR GREGA PUDIM	Un	1	Ativo
72776	MENU MAES FILE MIGNON MOL MAD ARR GREGA TORT HOL	Un	1	Ativo
72777	MENU MAES LASANHA BOLONHESA ARROZ BRANC PUDIM	Un	1	Ativo
72778	MENU MAES LASANHA BOLONHESA ARROZ BRANC TORT HOL	Un	1	Ativo
72779	MENU MAES LASANHA BOLONHESA ARROZ GREGA BOLO TRUF	Un	1	Ativo
72780	MENU MAES LASANHA BOLONHESA ARROZ GREGA TORT HOL	Un	1	Ativo
72781	MENU MAES LASANHA BOLONHESA ARROZ GREGA PUDIM	Un	1	Ativo
72782	MENU MAES LASANHA BOLONHESA ARROZ AMEND BOLO TRUF	Un	1	Ativo
72783	MENU MAES LASANHA BOLONHESA ARROZ	Un	1	Inativo
72784	MENU MAES LASANHA BOLONHESA ARROZ AMEND TORT HOL	Un	1	Ativo
73040	MENU MAES PICANHA MOLHO ERVAS ARR GREGA PUDIM	Un	1	Ativo
73042	MENU MAES PICANHA MOLHO ERVAS ARR GREGA TORT HOL	Un	1	Ativo
73046	MENU MAES PICANHA MOLHO ERVAS ARR AMEND TORT HOL	Un	1	Ativo
73047	MENU MAES PICANHA MOLHO ERVAS ARR AMEND PUDIM	Un	1	Ativo
73048	MENU MAES FRANGO RECHEADO ARROZ GREGA PUDIM	Un	1	Ativo
